
Sorted by EMP ID :
EMP_ID	Name		Salary
92	Janvi		90000
100	Danish		90000
102	Khushi		100000
107	Rudra		120000
108	Diksha		80000
109	Arnav		85000
110	Vishwa		60000
111	Ananya		74000
112	Ritul		72400
114	Vedanti		82000
121	Abhi		75000
122	Gaurav		40000
129	Anushka		96000
143	Omkar		45000
189	Kirtee		30000
314	Siddhi		71000
315	Jay		95000
316	Parul		85000
320	Sneha		84000
378	Harsh		45000

Sorted by Name :
EMP_ID	Name		Salary
121	Abhi		75000
111	Ananya		74000
129	Anushka		96000
109	Arnav		85000
100	Danish		90000
108	Diksha		80000
122	Gaurav		40000
378	Harsh		45000
92	Janvi		90000
315	Jay		95000
102	Khushi		100000
189	Kirtee		30000
143	Omkar		45000
316	Parul		85000
112	Ritul		72400
107	Rudra		120000
314	Siddhi		71000
320	Sneha		84000
114	Vedanti		82000
110	Vishwa		60000
